# AeroFlow CFD Results Export
# Generated: 2026-03-25 18:28:20
# Data Points: 873
# Mode: WindTunnel
#
time_s,mode,velocity_mps,dynamic_pressure_pa,cd,cl,cs,reynolds,reference_area_m2,drag_force_n,vertical_aero_force_n,downforce_n,cop_longitudinal_m,cop_lateral_m,cop_vertical_m,pitch_moment_nm,yaw_moment_nm,roll_moment_nm,front_axle_load_n,rear_axle_load_n,estimated_top_speed_mps,liquid_kinetic_energy_j,liquid_impact_pressure_pa,liquid_splash_height_m,liquid_containment,liquid_velocity_rms_mps,liquid_stability,flow_regime,assessment,quality_rating,quality_score,navier_valid,navier_mean_velocity_mps,navier_max_velocity_mps,navier_pressure_drop_pa,navier_wall_shear_pa,navier_divergence_l1,pipe_friction_factor,pipe_head_loss_m,pipe_flow_rate_m3s,pipe_pressure_gradient_pa_m,pipe_reynolds,machinery_torque_nm,machinery_power_w,machinery_efficiency,machinery_angular_velocity_rads,machinery_mean_swirl_mps,machinery_tip_speed_ratio,machinery_wake_deficit,machinery_energy_direction,machinery_application
52.218,"WindTunnel",50.000000,1531.250000,0.653524,-0.031937,-0.031538,10544480.000000,1.348920,1349.876000,-101.489100,101.489100,-0.011920,0.037419,-0.147489,-216.517400,-55.498950,7.006805,8149.535000,6666.955000,64.910560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Turbulent","Flow field not fully stable; solver divergence is elevated.","Fair",0.531485,1,33.513830,68.353990,0.145328,0.007469,7.816423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"-","-"
52.320,"WindTunnel",50.000000,1531.250000,0.653524,-0.031937,-0.031538,10544480.000000,1.348920,1349.876000,-101.489100,101.489100,-0.011920,0.037419,-0.147489,-216.517400,-55.498950,7.006805,8149.535000,6666.955000,64.910560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Turbulent","Flow field not fully stable; solver divergence is elevated.","Fair",0.531485,1,33.513830,68.353990,0.145328,0.007469,7.816423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"-","-"
52.423,"WindTunnel",50.000000,1531.250000,0.653524,-0.031937,-0.031538,10544480.000000,1.348920,1349.876000,-101.489100,101.489100,-0.011920,0.037419,-0.147489,-216.517400,-55.498950,7.006805,8149.535000,6666.955000,64.910560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Turbulent","Flow field not fully stable; solver divergence is elevated.","Fair",0.531485,1,33.513830,68.353990,0.145328,0.007469,7.816423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"-","-"
52.525,"WindTunnel",50.000000,1531.250000,0.653524,-0.031937,-0.031538,10544480.000000,1.348920,1349.876000,-101.489100,101.489100,-0.011920,0.037419,-0.147489,-216.517400,-55.498950,7.006805,8149.535000,6666.955000,64.910560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Turbulent","Flow field not fully stable; solver divergence is elevated.","Fair",0.531485,1,33.513830,68.353990,0.145328,0.007469,7.816423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"-","-"
52.627,"WindTunnel",50.000000,1531.250000,0.653524,-0.031937,-0.031538,10544480.000000,1.348920,1349.876000,-101.489100,101.489100,-0.011920,0.037419,-0.147489,-216.517400,-55.498950,7.006805,8149.535000,6666.955000,64.910560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Turbulent","Flow field not fully stable; solver divergence is elevated.","Fair",0.531485,1,33.513830,68.353990,0.145328,0.007469,7.816423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"-","-"
52.728,"WindTunnel",50.000000,1531.250000,0.653524,-0.031937,-0.031538,10544480.000000,1.348920,1349.876000,-101.489100,101.489100,-0.011920,0.037419,-0.147489,-216.517400,-55.498950,7.006805,8149.535000,6666.955000,64.910560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Turbulent","Flow field not fully stable; solver divergence is elevated.","Fair",0.531485,1,33.513830,68.353990,0.145328,0.007469,7.816423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"-","-"
52.831,"WindTunnel",50.000000,1531.250000,0.653524,-0.031937,-0.031538,10544480.000000,1.348920,1349.876000,-101.489100,101.489100,-0.011920,0.037419,-0.147489,-216.517400,-55.498950,7.006805,8149.535000,6666.955000,64.910560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Turbulent","Flow field not fully stable; solver divergence is elevated.","Fair",0.531485,1,33.513830,68.353990,0.145328,0.007469,7.816423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"-","-"
52.934,"WindTunnel",50.000000,1531.250000,0.653524,-0.031937,-0.031538,10544480.000000,1.348920,1349.876000,-101.489100,101.489100,-0.011920,0.037419,-0.147489,-216.517400,-55.498950,7.006805,8149.535000,6666.955000,64.910560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Turbulent","Flow field not fully stable; solver divergence is elevated.","Fair",0.531485,1,33.513830,68.353990,0.145328,0.007469,7.816423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"-","-"
53.035,"WindTunnel",50.000000,1531.250000,0.653524,-0.031937,-0.031538,10544480.000000,1.348920,1349.876000,-101.489100,101.489100,-0.011920,0.037419,-0.147489,-216.517400,-55.498950,7.006805,8149.535000,6666.955000,64.910560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Turbulent","Flow field not fully stable; solver divergence is elevated.","Fair",0.531485,1,33.513830,68.353990,0.145328,0.007469,7.816423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"-","-"
53.137,"WindTunnel",50.000000,1531.250000,0.653524,-0.031937,-0.031538,10544480.000000,1.348920,1349.876000,-101.489100,101.489100,-0.011920,0.037419,-0.147489,-216.517400,-55.498950,7.006805,8149.535000,6666.955000,64.910560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"Turbulent","Flow field not fully stable; solver divergence is elevated.","Fair",0.531485,1,33.513830,68.353990,0.145328,0.007469,7.816423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"-","-"
